Date,Open,High,Low,Close,Volume,Ticker,Return,CumulativeReturn,RollingVol_21D,RollingVol_21D_Ann,RollingSharpe_21D,RunningMax,Drawdown,MarketReturn
2025-03-19,193.38,195.97,191.96,195.54,"39,442,879",AMZN,0.014106420495799243,0.04182428472481292,0.018666130229536417,0.29631563116379017,-5.81612160241222,242.06,-0.19218375609353056,0.019347570177287516
2025-03-20,193.07,199.32,192.3,194.95,"38,921,113",AMZN,-0.003017285465889308,0.03868080345250213,0.018624061121746235,0.29564780478124303,-5.948145865808792,242.06,-0.1946211683053789,0.0004681534171713559
2025-03-21,192.9,196.99,192.52,196.21,"60,056,922",AMZN,0.006463195691202905,0.04539400074591149,0.018709653814090847,0.29700654664917286,-4.9912582876130935,242.06,-0.18941584731058414,0.012938622438782457
2025-03-24,200.0,203.64,199.95,203.26,"41,625,367",AMZN,0.03593089037255992,0.08295593798284462,0.020065042561113952,0.3185226759758043,-2.235538555885746,242.06,-0.1602908369825663,0.03313112834584039
2025-03-25,203.6,206.21,203.22,205.71,"31,171,160",AMZN,0.01205352750172195,0.09600937716447389,0.020005726524517257,0.3175810630862472,-1.111537187972472,242.06,-0.15016937949268772,0.011331083014214038
2025-03-26,205.84,206.01,199.93,201.13,"32,990,969",AMZN,-0.022264352729570835,0.07160743779636669,0.02050857412095582,0.32556352121150517,-1.92052453414779,242.06,-0.1690903081880526,-0.020647833313178876
2025-03-27,200.89,203.79,199.28,201.36,"27,317,660",AMZN,0.001143539004623939,0.07283286269913192,0.020405906205339733,0.323933718577432,-2.1576521269899063,242.06,-0.16814013054614552,-0.002596229002808616
2025-03-28,198.42,199.26,191.88,192.72,"52,548,230",AMZN,-0.042908224076281365,0.026799509830039092,0.02165407546047115,0.34374779123659877,-2.617527176843731,242.06,-0.20383376022473765,-0.02473075143142876
2025-03-31,188.19,191.33,184.4,190.26,"63,547,559",AMZN,-0.012764632627646377,0.01369279130481127,0.02121200606892085,0.33673015720294436,-3.731330577352799,242.06,-0.21399652978600348,-0.0014989378731350739
2025-04-01,187.86,193.93,187.2,192.17,"41,267,320",AMZN,0.010038894144854371,0.023869145932122304,0.020344612474593744,0.32296071076654453,-2.2466616565496267,242.06,-0.206105924151037,0.011340169360971328
2025-04-02,187.66,198.34,187.66,196.01,"53,679,199",AMZN,0.019982307332049754,0.044328413873941264,0.020927566052048274,0.33221481191758523,-1.2473498322669088,242.06,-0.19024208873832937,0.012066060012178057
2025-04-03,183.0,184.13,176.92,178.41,"95,553,617",AMZN,-0.08979133717667465,-0.049443230859395615,0.027706596954380765,0.4398285913031466,-4.002428898028033,242.06,-0.2629513343799058,-0.06585101536568706
2025-04-04,167.15,178.14,166.0,171.0,"123,159,398",AMZN,-0.04153354632587858,-0.08892322446587442,0.02798113274469003,0.444186711866016,-4.09203076045536,242.06,-0.293563579277865,-0.0686026095984857
2025-04-07,162.0,183.41,161.38,175.26,"109,327,102",AMZN,0.02491228070175433,-0.066226224092919,0.02884589761094173,0.45791442853790415,-3.1271819987406007,242.06,-0.27596463686689254,-0.00018487191771351545
2025-04-08,185.23,185.9,168.57,170.66,"87,710,359",AMZN,-0.026246719160104903,-0.09073472214822287,0.028932556413452694,0.4592900943800562,-3.1859573430652053,242.06,-0.2949681897050318,-0.022536205854324125
2025-04-09,172.12,192.65,169.93,191.1,"116,804,305",AMZN,0.11977030352748153,0.018168256167084396,0.03979705624250116,0.6317586823806522,-0.24136929848102817,242.06,-0.21052631578947367,0.1312848193218928
2025-04-10,185.44,186.87,175.85,181.22,"68,302,047",AMZN,-0.051700680272108834,-0.034471735308220675,0.041197123624297456,0.6539840630464501,-1.3965004312027878,242.06,-0.25134264232008596,-0.04795761467869232
2025-04-11,179.93,185.86,178.0,184.87,"50,594,340",AMZN,0.020141264761063926,-0.015024774894772941,0.04119970203459218,0.6540249940409565,-0.5656046174984525,242.06,-0.2362637362637362,0.02605426409013264
2025-04-14,186.84,187.44,179.23,182.12,"48,002,539",AMZN,-0.014875317790880027,-0.02967659438435677,0.040966378104251806,0.6503210914733517,-1.2297000321034752,242.06,-0.24762455589523258,-1.9368005323602438e-05
2025-04-15,181.41,182.35,177.93,179.59,"43,641,953",AMZN,-0.01389193938062816,-0.04315626831477393,0.04099729187432884,0.6508118323596193,-1.279063890172022,242.06,-0.25807650995620923,-0.0014682378221432574
2025-04-16,176.29,179.1,171.41,174.33,"51,875,320",AMZN,-0.02928893590957171,-0.07118120304757791,0.04131953658495366,0.6559273085533348,-1.5320053845627704,242.06,-0.27980665950590755,-0.03249983817836309
2025-04-17,176.0,176.21,172.0,172.61,"44,726,449",AMZN,-0.009866345436815194,-0.08034525014651761,0.04112534503095444,0.6528446132017882,-1.9798851574154452,242.06,-0.28691233578451614,0.00010823085224171651
2025-04-21,169.6,169.6,165.29,167.32,"48,126,113",AMZN,-0.030647123573373625,-0.10853002291011726,0.04149471760790518,0.6587082210802205,-2.4656067209898502,242.06,-0.3087664215483765,-0.029095098880474807
2025-04-22,169.85,176.78,169.35,173.18,"56,607,199",AMZN,0.035022710972985927,-0.07730832756140393,0.04239713166649249,0.6730336001520035,-1.9039186652729687,242.06,-0.2845575477154424,0.03054377993547384
2025-04-23,183.45,187.38,180.19,180.6,"63,470,152",AMZN,0.04284559417946632,-0.0377750546113268,0.042756927053249266,0.6787451748493639,-1.7656475985532523,242.06,-0.25390399074609604,0.027710294547014253
2025-04-24,180.92,186.74,180.18,186.54,"43,763,199",AMZN,0.03289036544850488,-0.006127124513825688,0.04340339587600776,0.6890075492616178,-1.3764475202881825,242.06,-0.22936462034206395,0.02633411771650009
2025-04-25,187.62,189.94,185.49,188.99,"36,414,328",AMZN,0.013133912297630612,0.006926314667803579,0.043336279612212876,0.6879421116040435,-0.7611157152361433,242.06,-0.21924316285218537,0.023615023764937293
2025-04-28,190.11,190.22,184.89,187.7,"33,224,730",AMZN,-0.0068257579766126675,5.3279343598555684e-05,0.04334155312795966,0.6880258260712493,-0.9000172560750472,242.06,-0.22457242006114198,-0.0032220839198809437
2025-04-29,183.99,188.02,183.68,187.39,"41,667,262",AMZN,-0.001651571656899331,-0.001598380307954561,0.04233976977966624,0.6721230084283494,-0.18472107858224646,242.06,-0.22585309427414701,0.005464753165133285
2025-04-30,182.17,185.05,178.85,184.42,"55,176,539",AMZN,-0.015849298254976274,-0.01742234535670517,0.04238979470442649,0.6729171294899714,-0.23951132691026222,242.06,-0.238122779476163,-0.009507779905616687
